threshold,accuracy
0.0,0.24883977900552487
0.05,0.7635359116022099
0.1,0.7635359116022099
0.15000000000000002,0.7635359116022099
0.2,0.7635359116022099
0.25,0.7635359116022099
0.30000000000000004,0.7635359116022099
0.35000000000000003,0.7635359116022099
0.4,0.7635359116022099
0.45,0.7635359116022099
0.5,0.7635359116022099
0.55,0.7635359116022099
0.6000000000000001,0.7635359116022099
0.65,0.7635359116022099
0.7000000000000001,0.7635359116022099
0.75,0.7635359116022099
0.8,0.7635359116022099
0.8500000000000001,0.7635359116022099
0.9,0.7635359116022099
0.9500000000000001,0.7635359116022099
1.0,0.7635359116022099
